NumIters,Seconds,LearningRate,loss
15860.0,2904.838192,0.001,0.000612953
15880.0,2907.001343,0.001,0.00212039
15900.0,2909.166718,0.001,0.00557319
15920.0,2911.341257,0.001,0.00108342
15940.0,2913.50449,0.001,0.00292339
15960.0,2915.686057,0.001,0.00255748
15980.0,2917.852216,0.001,0.00466345
16000.0,2934.099789,0.001,0.00109599
16020.0,2936.356514,0.001,0.00339874
16040.0,2938.624471,0.001,0.00136636
16060.0,2940.888067,0.001,0.00102684
16080.0,2943.152943,0.001,0.00344919
16100.0,2945.42203,0.001,0.000238851
16120.0,2947.707325,0.001,0.00135012
16140.0,2950.004903,0.001,0.000517174
16160.0,2952.261211,0.001,0.0101689
16180.0,2954.399791,0.001,0.00271541
16200.0,2956.512173,0.001,0.00201346
16220.0,2958.655741,0.001,0.0022857
16240.0,2960.803011,0.001,0.000582281
16260.0,2962.931783,0.001,0.00426479
16280.0,2965.076077,0.001,0.0117721
16300.0,2967.223285,0.001,0.0149406
16320.0,2969.384149,0.001,0.00158809
16340.0,2971.544348,0.001,0.00167516
16360.0,2973.698414,0.001,0.00502919
16380.0,2975.81997,0.001,0.00012469
16400.0,2977.952567,0.001,0.0127789
16420.0,2980.104398,0.001,0.00156822
16440.0,2982.266203,0.001,0.00214643
16460.0,2984.446257,0.001,0.0057071
16480.0,2986.61613,0.001,0.000525293
16500.0,2988.797983,0.001,0.0029049
16520.0,2990.957512,0.001,0.00183473
16540.0,2993.120849,0.001,0.00328289
16560.0,2995.252019,0.001,0.0105879
16580.0,2997.377875,0.001,0.000877975
16600.0,2999.539663,0.001,0.000273407
16620.0,3001.700688,0.001,0.000912145
16640.0,3003.860443,0.001,0.0104789
16660.0,3006.035803,0.001,0.00218111
16680.0,3008.201701,0.001,0.00448977
16700.0,3010.361355,0.001,0.00102927
16720.0,3012.516841,0.001,0.0041469
16740.0,3014.670972,0.001,0.00156597
16760.0,3016.820513,0.001,0.00172636
16780.0,3018.965643,0.001,0.000797015
16800.0,3021.122085,0.001,0.00238248
16820.0,3023.280444,0.001,0.0015183
16840.0,3025.455563,0.001,0.00155997
16860.0,3027.618065,0.001,0.00132615
16880.0,3029.787323,0.001,0.000705145
16900.0,3031.962837,0.001,0.00338515
16920.0,3034.116181,0.001,0.00105471
16940.0,3036.253778,0.001,0.00420483
16960.0,3038.410025,0.001,0.000763197
16980.0,3040.54433,0.001,0.00187843
17000.0,3056.810268,0.001,0.0059516
17020.0,3059.067303,0.001,0.00525872
17040.0,3061.324953,0.001,0.00163645
17060.0,3063.564739,0.001,0.00856148
17080.0,3065.842759,0.001,0.000608588
17100.0,3068.128174,0.001,0.00180063
17120.0,3070.418072,0.001,0.0104491
17140.0,3072.702101,0.001,0.00107162
17160.0,3074.980801,0.001,0.00160051
17180.0,3077.250614,0.001,0.00365447
17200.0,3079.543211,0.001,0.00170143
17220.0,3081.833828,0.001,0.000971156
17240.0,3084.139216,0.001,0.000454648
17260.0,3086.443689,0.001,0.00103238
17280.0,3088.749542,0.001,0.000640835
17300.0,3091.050942,0.001,0.00140559
17320.0,3093.202024,0.001,0.00104017
17340.0,3095.323292,0.001,0.00469197
17360.0,3097.460961,0.001,0.000343083
17380.0,3099.605315,0.001,0.00409759
17400.0,3101.725976,0.001,0.00274254
17420.0,3103.875538,0.001,0.00242012
17440.0,3106.028852,0.001,0.000214758
17460.0,3108.196494,0.001,0.000537071
17480.0,3110.324173,0.001,0.00545537
17500.0,3112.468004,0.001,0.00263275
17520.0,3114.617179,0.001,0.00216969
17540.0,3116.760991,0.001,0.00044979
17560.0,3118.903095,0.001,0.000955634
17580.0,3121.047946,0.001,0.000445579
17600.0,3123.214458,0.001,0.00290296
17620.0,3125.369623,0.001,0.00177955
17640.0,3127.521032,0.001,0.000796399
17660.0,3129.700089,0.001,0.0015462
17680.0,3131.879211,0.001,0.000905889
17700.0,3134.050125,0.001,0.000180269
17720.0,3136.205117,0.001,0.00033339
17740.0,3138.362902,0.001,0.00791244
17760.0,3140.510015,0.001,0.000298643
17780.0,3142.707119,0.001,0.00090323
17800.0,3144.904346,0.001,0.000425605
17820.0,3147.07708,0.001,0.0012962
17840.0,3149.25083,0.001,0.000367544
17860.0,3151.455866,0.001,0.000157908
17880.0,3153.604462,0.001,0.00168165
17900.0,3155.756553,0.001,0.000601076
17920.0,3157.918026,0.001,0.000918334
17940.0,3160.075653,0.001,0.00193487
17960.0,3162.227561,0.001,0.000715792
17980.0,3164.375119,0.001,0.00126059
18000.0,3180.58042,0.001,0.000788981
18020.0,3182.83774,0.001,0.00050628
18040.0,3185.095344,0.001,0.000847467
18060.0,3187.374238,0.001,0.000240187
18080.0,3189.623767,0.001,0.00127784
18100.0,3191.726635,0.001,0.000493341
18120.0,3193.85709,0.001,0.000367463
18140.0,3195.99173,0.001,0.00045192
18160.0,3198.104636,0.001,0.00546316
18180.0,3200.236174,0.001,0.000497187
18200.0,3202.394647,0.001,0.000889073
18220.0,3204.541061,0.001,0.000469761
18240.0,3206.673411,0.001,0.000318194
18260.0,3208.822085,0.001,0.000408103
18280.0,3210.973245,0.001,0.000218233
18300.0,3213.123462,0.001,0.00138642
18320.0,3215.26714,0.001,0.000532722
18340.0,3217.424409,0.001,0.00061667
18360.0,3219.567065,0.001,0.000240617
18380.0,3221.716694,0.001,0.00526647
18400.0,3223.867608,0.001,0.000637405
18420.0,3226.026698,0.001,0.000212563
18440.0,3228.177758,0.001,0.00249666
18460.0,3230.346138,0.001,0.00409803
18480.0,3232.484941,0.001,0.000587488
18500.0,3234.636907,0.001,0.00123748
18520.0,3236.792468,0.001,0.000255426
18540.0,3238.95076,0.001,0.00417743
18560.0,3241.118011,0.001,0.000227185
18580.0,3243.283736,0.001,0.000508733
